,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
87,Salivary_Gland,0.0007293734233826399,0.026367662474513054,0.0,0.0,0.0,0.0,1.502484917640686,ABO,0.0,0.0,0.0,all,immune
88,Skin,0.0008737475145608187,0.03245944529771805,0.0,0.0,0.0,0.0,1.339646816253662,ABO,0.0,0.0,0.0,all,immune
89,Small_Intestine,0.0016567917773500085,0.0407501645386219,0.0,0.0,0.0,0.0,1.4018691778182983,ABO,0.0,0.0,0.0,all,immune
90,Spleen,0.0006645392277278006,0.022609207779169083,0.0,0.0,0.0,0.0,1.5772701501846313,ABO,0.0,0.0,0.0,all,immune
91,Thymus,0.0009558115270920098,0.031168246641755104,0.0,0.0,0.0,0.0,1.4355722665786743,ABO,0.0,0.0,0.0,all,immune
92,Tongue,0.0004972895258106291,0.01260837260633707,0.0,0.0,0.0,0.0,0.4159672260284424,ABO,0.0,0.0,0.0,all,immune
93,Trachea,0.0108787314966321,0.09672859311103821,0.0,0.0,0.0,0.0,1.4594520330429077,ABO,0.0,0.0,0.0,all,immune
94,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,all,immune
95,Vasculature,0.0004962653038091958,0.015733975917100906,0.0,0.0,0.0,0.0,0.7877271771430969,ABO,0.0,0.0,0.0,all,immune
96,Bladder,0.09679190814495087,0.29071488976478577,0.0,0.0,0.0,0.0,2.057443618774414,AGA,0.0,0.0,0.0,all,immune
97,Blood,0.0921591967344284,0.281133770942688,0.0,0.0,0.0,0.0,2.4128775596618652,AGA,0.0,0.0,0.0,all,immune
98,Bone_Marrow,0.11358706653118134,0.3066166043281555,0.0,0.0,0.0,0.0,2.244328022003174,AGA,0.0,0.0,0.0,all,immune
99,Eye,0.08076462149620056,0.2966753840446472,0.0,0.0,0.0,0.0,3.577592134475708,AGA,0.0,0.0,0.0,all,immune
100,Fat,0.09317167103290558,0.2635349929332733,0.0,0.0,0.0,0.0,2.097454309463501,AGA,0.0,0.0,0.0,all,immune
101,Heart,0.1696888506412506,0.4205036759376526,0.0,0.0,0.0,0.0,1.5057517290115356,AGA,0.0,0.0,0.0,all,immune
102,Kidney,0.0693788006901741,0.2504558265209198,0.0,0.0,0.0,0.0,1.826766848564148,AGA,0.0,0.0,0.0,all,immune
103,Large_Intestine,0.05378379300236702,0.2463671714067459,0.0,0.0,0.0,0.0,2.089968681335449,AGA,0.0,0.0,0.0,all,immune
104,Liver,0.07376070320606232,0.2554906904697418,0.0,0.0,0.0,0.0,1.6486424207687378,AGA,0.0,0.0,0.0,all,immune
105,Lung,0.15753385424613953,0.2962184250354767,0.0,0.0,0.0,0.3058522939682007,2.1429390907287598,AGA,0.3058522939682007,0.7646307349205017,0.0,all,immune
106,Lymph_Node,0.09902405738830566,0.29718926548957825,0.0,0.0,0.0,0.0,2.411644458770752,AGA,0.0,0.0,0.0,all,immune
107,Mammary,0.0722714364528656,0.29463350772857666,0.0,0.0,0.0,0.0,2.1620981693267822,AGA,0.0,0.0,0.0,all,immune
108,Muscle,0.06259100139141083,0.2358217090368271,0.0,0.0,0.0,0.0,1.7613755464553833,AGA,0.0,0.0,0.0,all,immune
109,Pancreas,0.12190071493387222,0.3109114468097687,0.0,0.0,0.0,0.0,2.1610782146453857,AGA,0.0,0.0,0.0,all,immune
110,Prostate,0.09878142178058624,0.31703466176986694,0.0,0.0,0.0,0.0,2.0770390033721924,AGA,0.0,0.0,0.0,all,immune
111,Salivary_Gland,0.10657393932342529,0.30634722113609314,0.0,0.0,0.0,0.0,2.118095874786377,AGA,0.0,0.0,0.0,all,immune
112,Skin,0.02732296660542488,0.17170552909374237,0.0,0.0,0.0,0.0,1.7040939331054688,AGA,0.0,0.0,0.0,all,immune
113,Small_Intestine,0.0725867971777916,0.2620329260826111,0.0,0.0,0.0,0.0,2.0392043590545654,AGA,0.0,0.0,0.0,all,immune
114,Spleen,0.092866912484169,0.27134397625923157,0.0,0.0,0.0,0.0,2.3248445987701416,AGA,0.0,0.0,0.0,all,immune
115,Thymus,0.10279808193445206,0.2984875738620758,0.0,0.0,0.0,0.0,2.1955668926239014,AGA,0.0,0.0,0.0,all,immune
116,Tongue,0.10865992307662964,0.3248630464076996,0.0,0.0,0.0,0.0,2.145155906677246,AGA,0.0,0.0,0.0,all,immune
117,Trachea,0.07131683826446533,0.2456737458705902,0.0,0.0,0.0,0.0,1.7042778730392456,AGA,0.0,0.0,0.0,all,immune
118,Uterus,0.09925758838653564,0.31700435280799866,0.0,0.0,0.0,0.0,2.224222421646118,AGA,0.0,0.0,0.0,all,immune
119,Vasculature,0.09824099391698837,0.26310715079307556,0.0,0.0,0.0,0.0,1.8998734951019287,AGA,0.0,0.0,0.0,all,immune
120,Bladder,0.03850746154785156,0.17435477674007416,0.0,0.0,0.0,0.0,1.5633959770202637,ALG1,0.0,0.0,0.0,all,immune
121,Blood,0.04358050599694252,0.18636825680732727,0.0,0.0,0.0,0.0,2.1439359188079834,ALG1,0.0,0.0,0.0,all,immune
122,Bone_Marrow,0.0708969384431839,0.23078864812850952,0.0,0.0,0.0,0.0,2.006756544113159,ALG1,0.0,0.0,0.0,all,immune
123,Eye,0.031946584582328796,0.15684807300567627,0.0,0.0,0.0,0.0,1.4745965003967285,ALG1,0.0,0.0,0.0,all,immune
124,Fat,0.054448265582323074,0.1816377490758896,0.0,0.0,0.0,0.0,1.5601212978363037,ALG1,0.0,0.0,0.0,all,immune
125,Heart,0.06912652403116226,0.2385254055261612,0.0,0.0,0.0,0.0,1.0207419395446777,ALG1,0.0,0.0,0.0,all,immune
126,Kidney,0.032978929579257965,0.1700362265110016,0.0,0.0,0.0,0.0,1.291769027709961,ALG1,0.0,0.0,0.0,all,immune
127,Large_Intestine,0.017035555094480515,0.13834960758686066,0.0,0.0,0.0,0.0,1.8362340927124023,ALG1,0.0,0.0,0.0,all,immune
128,Liver,0.05068701505661011,0.20959621667861938,0.0,0.0,0.0,0.0,1.5463119745254517,ALG1,0.0,0.0,0.0,all,immune
