,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
135,Thymus,0.023774072527885437,0.13515295088291168,0.0,0.0,0.0,0.0,1.5405235290527344,ALG10,0.0,0.0,0.0,all,stromal
136,Tongue,0.03213304281234741,0.1628418266773224,0.0,0.0,0.0,0.0,1.2073668241500854,ALG10,0.0,0.0,0.0,all,stromal
137,Trachea,0.018803486600518227,0.1159040629863739,0.0,0.0,0.0,0.0,1.6006954908370972,ALG10,0.0,0.0,0.0,all,stromal
138,Uterus,0.01105175819247961,0.08100304752588272,0.0,0.0,0.0,0.0,1.2661365270614624,ALG10,0.0,0.0,0.0,all,stromal
139,Vasculature,0.018173862248659134,0.09726069867610931,0.0,0.0,0.0,0.0,1.3537486791610718,ALG10,0.0,0.0,0.0,all,stromal
140,Bladder,0.030972175300121307,0.1520104855298996,0.0,0.0,0.0,0.0,1.6755129098892212,ALG10B,0.0,0.0,0.0,all,stromal
141,Eye,0.07495341449975967,0.22782815992832184,0.0,0.0,0.0,0.0,1.5387014150619507,ALG10B,0.0,0.0,0.0,all,stromal
142,Fat,0.05041518434882164,0.1785566508769989,0.0,0.0,0.0,0.0,1.889312982559204,ALG10B,0.0,0.0,0.0,all,stromal
143,Heart,0.008102040737867355,0.0842573344707489,0.0,0.0,0.0,0.0,2.069443702697754,ALG10B,0.0,0.0,0.0,all,stromal
144,Large_Intestine,0.028943849727511406,0.17357535660266876,0.0,0.0,0.0,0.0,1.4858689308166504,ALG10B,0.0,0.0,0.0,all,stromal
145,Liver,0.04598743095993996,0.2475753128528595,0.0,0.0,0.0,0.0,1.9388294219970703,ALG10B,0.0,0.0,0.0,all,stromal
146,Lung,0.06693070381879807,0.27894312143325806,0.0,0.0,0.0,0.0,1.7534358501434326,ALG10B,0.0,0.0,0.0,all,stromal
147,Lymph_Node,0.07297679036855698,0.21475449204444885,0.0,0.0,0.0,0.0,1.1253079175949097,ALG10B,0.0,0.0,0.0,all,stromal
148,Mammary,0.02423742413520813,0.1470625102519989,0.0,0.0,0.0,0.0,1.4496396780014038,ALG10B,0.0,0.0,0.0,all,stromal
149,Muscle,0.056780215352773666,0.207906112074852,0.0,0.0,0.0,0.0,1.959925889968872,ALG10B,0.0,0.0,0.0,all,stromal
150,Pancreas,0.047837525606155396,0.1866929531097412,0.0,0.0,0.0,0.0,1.5571585893630981,ALG10B,0.0,0.0,0.0,all,stromal
151,Prostate,0.06014668196439743,0.22607697546482086,0.0,0.0,0.0,0.0,1.6019600629806519,ALG10B,0.0,0.0,0.0,all,stromal
152,Salivary_Gland,0.057471368461847305,0.19526100158691406,0.0,0.0,0.0,0.0,1.5110505819320679,ALG10B,0.0,0.0,0.0,all,stromal
153,Skin,0.00957571528851986,0.08568668365478516,0.0,0.0,0.0,0.0,1.425648808479309,ALG10B,0.0,0.0,0.0,all,stromal
154,Small_Intestine,0.025019163265824318,0.13309946656227112,0.0,0.0,0.0,0.0,0.8960066437721252,ALG10B,0.0,0.0,0.0,all,stromal
