,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
130,Uterus,0.020038900896906853,0.1100064292550087,0.0,0.0,0.0,0.0,1.2781529426574707,ALG1,0.0,0.0,0.0,all,endothelial
131,Vasculature,0.05968814715743065,0.19950228929519653,0.0,0.0,0.0,0.0,1.5319370031356812,ALG1,0.0,0.0,0.0,all,endothelial
132,Bladder,0.02909897454082966,0.1259288638830185,0.0,0.0,0.0,0.0,0.9070024490356445,ALG10,0.0,0.0,0.0,all,endothelial
133,Eye,0.025009986013174057,0.12849187850952148,0.0,0.0,0.0,0.0,1.0515896081924438,ALG10,0.0,0.0,0.0,all,endothelial
134,Fat,0.02966413088142872,0.15028424561023712,0.0,0.0,0.0,0.0,1.5503947734832764,ALG10,0.0,0.0,0.0,all,endothelial
135,Heart,0.029900960624217987,0.18203024566173553,0.0,0.0,0.0,0.0,1.5419659614562988,ALG10,0.0,0.0,0.0,all,endothelial
136,Kidney,0.0397488996386528,0.17362891137599945,0.0,0.0,0.0,0.0,1.308372974395752,ALG10,0.0,0.0,0.0,all,endothelial
137,Large_Intestine,0.024293843656778336,0.17686188220977783,0.0,0.0,0.0,0.0,1.2875736951828003,ALG10,0.0,0.0,0.0,all,endothelial
138,Liver,0.023150036111474037,0.16048957407474518,0.0,0.0,0.0,0.0,1.5837029218673706,ALG10,0.0,0.0,0.0,all,endothelial
139,Lung,0.03137774020433426,0.18958033621311188,0.0,0.0,0.0,0.0,1.5718060731887817,ALG10,0.0,0.0,0.0,all,endothelial
140,Lymph_Node,0.04162664711475372,0.17944744229316711,0.0,0.0,0.0,0.0,1.1768580675125122,ALG10,0.0,0.0,0.0,all,endothelial
141,Mammary,0.025346161797642708,0.13762523233890533,0.0,0.0,0.0,0.0,1.2668685913085938,ALG10,0.0,0.0,0.0,all,endothelial
142,Muscle,0.024370815604925156,0.14624974131584167,0.0,0.0,0.0,0.0,2.0697460174560547,ALG10,0.0,0.0,0.0,all,endothelial
143,Pancreas,0.024713806807994843,0.14649538695812225,0.0,0.0,0.0,0.0,1.4232525825500488,ALG10,0.0,0.0,0.0,all,endothelial
144,Prostate,0.024952715262770653,0.14411617815494537,0.0,0.0,0.0,0.0,1.4083689451217651,ALG10,0.0,0.0,0.0,all,endothelial
145,Salivary_Gland,0.0353766493499279,0.16722805798053741,0.0,0.0,0.0,0.0,1.4414564371109009,ALG10,0.0,0.0,0.0,all,endothelial
146,Skin,0.012079398147761822,0.08474130928516388,0.0,0.0,0.0,0.0,1.2698066234588623,ALG10,0.0,0.0,0.0,all,endothelial
147,Small_Intestine,0.04012373462319374,0.18672318756580353,0.0,0.0,0.0,0.0,0.9590702652931213,ALG10,0.0,0.0,0.0,all,endothelial
148,Spleen,0.06629854440689087,0.22706229984760284,0.0,0.0,0.0,0.0,1.8191514015197754,ALG10,0.0,0.0,0.0,all,endothelial
149,Thymus,0.03212621062994003,0.16536548733711243,0.0,0.0,0.0,0.0,1.631394386291504,ALG10,0.0,0.0,0.0,all,endothelial
150,Tongue,0.017653221264481544,0.12094295769929886,0.0,0.0,0.0,0.0,1.3554552793502808,ALG10,0.0,0.0,0.0,all,endothelial
151,Trachea,0.024892538785934448,0.14965249598026276,0.0,0.0,0.0,0.0,1.4660807847976685,ALG10,0.0,0.0,0.0,all,endothelial
152,Uterus,0.011616538278758526,0.0973956286907196,0.0,0.0,0.0,0.0,1.498424768447876,ALG10,0.0,0.0,0.0,all,endothelial
153,Vasculature,0.031267162412405014,0.15042729675769806,0.0,0.0,0.0,0.0,1.4244494438171387,ALG10,0.0,0.0,0.0,all,endothelial
154,Bladder,0.0639953464269638,0.2045767903327942,0.0,0.0,0.0,0.0,1.4528932571411133,ALG10B,0.0,0.0,0.0,all,endothelial
155,Eye,0.07483631372451782,0.25409364700317383,0.0,0.0,0.0,0.0,2.2732388973236084,ALG10B,0.0,0.0,0.0,all,endothelial
156,Fat,0.09901275485754013,0.281734824180603,0.0,0.0,0.0,0.0,2.0572452545166016,ALG10B,0.0,0.0,0.0,all,endothelial
157,Heart,0.083514004945755,0.30802682042121887,0.0,0.0,0.0,0.0,2.111048460006714,ALG10B,0.0,0.0,0.0,all,endothelial
158,Kidney,0.14401553571224213,0.32645487785339355,0.0,0.0,0.0,0.0,1.3407917022705078,ALG10B,0.0,0.0,0.0,all,endothelial
159,Large_Intestine,0.10479515790939331,0.345915824174881,0.0,0.0,0.0,0.0,1.621709942817688,ALG10B,0.0,0.0,0.0,all,endothelial
160,Liver,0.059431083500385284,0.24728219211101532,0.0,0.0,0.0,0.0,1.5498100519180298,ALG10B,0.0,0.0,0.0,all,endothelial
161,Lung,0.09726695716381073,0.33499768376350403,0.0,0.0,0.0,0.0,2.112964153289795,ALG10B,0.0,0.0,0.0,all,endothelial
162,Lymph_Node,0.06474181264638901,0.23409771919250488,0.0,0.0,0.0,0.0,1.1555612087249756,ALG10B,0.0,0.0,0.0,all,endothelial
163,Mammary,0.027243930846452713,0.13719269633293152,0.0,0.0,0.0,0.0,1.3880594968795776,ALG10B,0.0,0.0,0.0,all,endothelial
164,Muscle,0.07683011144399643,0.2683083713054657,0.0,0.0,0.0,0.0,2.030531406402588,ALG10B,0.0,0.0,0.0,all,endothelial
165,Pancreas,0.06986948102712631,0.2615754306316376,0.0,0.0,0.0,0.0,2.137643337249756,ALG10B,0.0,0.0,0.0,all,endothelial
166,Prostate,0.10336598753929138,0.3123244643211365,0.0,0.0,0.0,0.0,1.7436355352401733,ALG10B,0.0,0.0,0.0,all,endothelial
167,Salivary_Gland,0.07118590176105499,0.2379322648048401,0.0,0.0,0.0,0.0,1.539084553718567,ALG10B,0.0,0.0,0.0,all,endothelial
168,Skin,0.015564695931971073,0.10557340830564499,0.0,0.0,0.0,0.0,1.5170416831970215,ALG10B,0.0,0.0,0.0,all,endothelial
169,Small_Intestine,0.0364362858235836,0.172282874584198,0.0,0.0,0.0,0.0,0.9590702652931213,ALG10B,0.0,0.0,0.0,all,endothelial
170,Spleen,0.1375291496515274,0.34034591913223267,0.0,0.0,0.0,0.0,1.8728182315826416,ALG10B,0.0,0.0,0.0,all,endothelial
171,Thymus,0.07014977931976318,0.2544000446796417,0.0,0.0,0.0,0.0,2.2399415969848633,ALG10B,0.0,0.0,0.0,all,endothelial
172,Tongue,0.05683686211705208,0.2117920070886612,0.0,0.0,0.0,0.0,1.6200823783874512,ALG10B,0.0,0.0,0.0,all,endothelial
173,Trachea,0.06468480080366135,0.23004262149333954,0.0,0.0,0.0,0.0,1.2948397397994995,ALG10B,0.0,0.0,0.0,all,endothelial
174,Uterus,0.021604441106319427,0.12431750446557999,0.0,0.0,0.0,0.0,1.3428791761398315,ALG10B,0.0,0.0,0.0,all,endothelial
175,Vasculature,0.07801005244255066,0.23548750579357147,0.0,0.0,0.0,0.0,2.06612491607666,ALG10B,0.0,0.0,0.0,all,endothelial
176,Bladder,0.04818905144929886,0.1832415610551834,0.0,0.0,0.0,0.0,1.3307722806930542,ALG11,0.0,0.0,0.0,all,endothelial
177,Eye,0.0787040963768959,0.23551324009895325,0.0,0.0,0.0,0.0,1.8864589929580688,ALG11,0.0,0.0,0.0,all,endothelial
178,Fat,0.0466647706925869,0.1877877414226532,0.0,0.0,0.0,0.0,1.5195468664169312,ALG11,0.0,0.0,0.0,all,endothelial
179,Heart,0.0482669398188591,0.22637759149074554,0.0,0.0,0.0,0.0,2.1556601524353027,ALG11,0.0,0.0,0.0,all,endothelial
180,Kidney,0.051025986671447754,0.1582137495279312,0.0,0.0,0.0,0.0,0.8544469475746155,ALG11,0.0,0.0,0.0,all,endothelial
181,Large_Intestine,0.015634339302778244,0.11381971836090088,0.0,0.0,0.0,0.0,0.8286200165748596,ALG11,0.0,0.0,0.0,all,endothelial
182,Liver,0.056038957089185715,0.2426508516073227,0.0,0.0,0.0,0.0,1.5994335412979126,ALG11,0.0,0.0,0.0,all,endothelial
183,Lung,0.029504278674721718,0.18797898292541504,0.0,0.0,0.0,0.0,2.08563494682312,ALG11,0.0,0.0,0.0,all,endothelial
